episode,time_s,cars_completed,total_cars,average_reward,best_reward,worst_reward,epsilon,max_q,loss
47,0.820000,14,14,7855.797223,13144.659233,-4713.145082,0.691094,1780.071627,177011.898146
48,0.698000,14,14,9613.912132,11409.132732,5677.063173,0.685565,1671.578358,630.736307
49,0.553000,14,14,10425.169299,13202.111585,8722.229435,0.680080,1738.400041,168690.755774
50,0.571000,14,14,11046.114932,12440.534638,8801.050589,0.674640,1861.713203,160453.451039
51,0.570000,14,14,10963.137092,12770.430987,8639.238216,0.669243,1937.397645,306080.433966
52,0.537000,14,14,10898.100634,12411.673387,9210.757193,0.663889,1951.871708,147726.590819
53,0.529000,14,14,10650.479105,12074.666421,7911.060850,0.658578,1971.879898,2578.003349
54,0.579000,14,14,11018.565374,13068.787698,8884.327736,0.653309,1958.198064,153871.493507
55,0.587000,14,14,11920.704986,13452.312049,9738.196762,0.648083,1998.679920,434898.946627
56,0.554000,14,14,11162.162826,13623.036036,2500.671365,0.642898,2035.874271,2786.217736
57,0.479000,14,14,12182.819685,13226.658272,10434.072526,0.637755,2062.878160,648.670443
58,0.471000,14,14,11117.811346,13539.140064,7153.332629,0.632653,2073.941401,2994.025092
59,0.458000,14,14,11938.546140,12850.079548,10867.969796,0.627591,2104.624366,400773.657111
60,0.464000,14,14,11826.073007,12910.978968,11173.056831,0.622571,2126.550125,822.465266
61,0.449000,14,14,12478.427922,13937.355889,11213.111755,0.617590,2148.892962,143168.071105
62,0.413000,14,14,12484.987307,13887.365771,10337.702571,0.612649,2173.409978,402759.006515
63,0.417000,14,14,13257.130985,14150.562489,11001.705488,0.607748,2242.794665,605164.742790
64,0.405000,14,14,12793.712369,14122.753794,11477.029943,0.602886,2206.867375,253331.998693
65,0.429000,14,14,12784.930353,14246.774319,11092.951410,0.598063,2329.814729,229586.414881
66,0.376000,14,14,13214.535273,14305.287569,11710.821720,0.593279,2349.355192,115542.375335
67,0.382000,14,14,13620.400452,14162.751795,10846.069782,0.588532,2385.107101,110560.757868
68,0.371000,14,14,13311.583727,14206.327787,12254.849267,0.583824,2443.103790,109407.425915
